"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","UNIT_NUM"
"2020074050","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","1"
"2020070180","N","N","U","Y","Y","Y","1","N","N","00600","N","","","","","","","","N","1"
"2020072269","N","N","U","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","2"
"2020037190","N","U","U","Y","N","N","0","Y","N","01000","N","","","","","","","","N","1"
"2020051879","N","Y","U","Y","Y","Y","1","Y","N","00250","N","","","","","","","","N","1"
"2020044961","N","N","Y","Y","Y","Y","2","Y","N","01200","N","","","","","","","","N","1"
"2020029791","N","U","U","Y","U","N","1","Y","Y","00954","N","","","","","","","","N","2"
"2020075417","Y","N","U","N","N","N","0","Y","N","01300","Y","N","N","N","N","0","Y","N","N","1"
"2020054036","Y","Y","Y","Y","U","Y","1","Y","Y","01584","Y","Y","Y","U","Y","1","Y","Y","N","1"
"2020035591","N","N","U","Y","N","N","0","Y","Y","01200","N","","","","","","","","N","1"
"2020089145","N","N","U","N","N","N","0","Y","U","99999","N","","","","","","","","N","1"
"2020068025","Y","Y","Y","Y","N","N","0","Y","N","01690","Y","U","U","N","N","0","Y","U","N","1"
"2020053071","N","N","N","Y","","","0","Y","Y","01450","N","","","","","","","","N","1"
"2020036789","","","","","","","","","","","","","","","","","","","","2"
"2020106009","N","Y","U","Y","U","Y","1","Y","Y","00300","N","","","","","","","","N","1"
"2020053167","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","1"
"2020095015","N","N","N","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","2"
"2020039216","Y","Y","U","Y","U","Y","3","Y","N","01200","N","","","","","","","","N","1"
"2020049369","Y","N","U","N","N","N","0","N","N","00002","N","","","","","","","","N","1"
"2020071925","Y","Y","U","Y","Y","Y","3","Y","Y","00800","N","","","","","","","","N","2"
"2020049388","N","N","N","N","N","N","3","N","N","00600","N","","","","","","","","N","1"
"2020069119","N","U","N","Y","U","Y","1","N","N","99999","N","","","","","","","","N","2"
"2020035735","","","","","","","","","","","","","","","","","","","","2"
"2020062867","","","","","","","","","","","","","","","","","","","","1"
"2020049189","Y","N","Y","N","N","N","0","Y","N","00124","N","","","","","","","","N","1"
"2020098628","Y","Y","U","Y","N","N","0","Y","Y","01790","N","","","","","","","","N","2"
"2020055710","","","","","","","","","","","","","","","","","","","","2"
"2020089091","","","","","","","","","","","","","","","","","","","","1"
"2020039953","N","Y","U","Y","Y","Y","1","Y","Y","00700","N","","","","","","","","N","1"
"2020073199","Y","Y","Y","Y","Y","Y","3","Y","N","01687","N","","","","","","","","N","1"
"2020073199","Y","Y","Y","Y","Y","Y","3","Y","N","01687","N","","","","","","","","N","2"
"2020070404","Y","N","U","Y","N","N","0","N","N","01300","N","","","","","","","","N","1"
"2020053784","Y","U","U","Y","U","Y","9","Y","N","00500","N","","","","","","","","N","1"
"2020048974","Y","Y","U","Y","Y","Y","3","Y","Y","01917","N","","","","","","","","N","2"
"2020081129","Y","Y","N","Y","N","Y","3","Y","Y","01700","N","","","","","","","","N","2"
"2020076140","N","N","U","Y","N","N","0","Y","Y","00600","N","","","","","","","","N","1"
"2020088942","Y","Y","Y","Y","Y","Y","3","Y","Y","01868","N","","","","","","","","N","1"
