"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020025087","","0","PA","XXXX","2020","7","1"
"2020047008","","0","IL","661611ST","2020","7","1"
"2020015700","","0","TN","U976273","2007","7","1"
"2020101254","","0","ME","221862GY","2021","7","2"
"2020087223","","0","NE","31115W","2020","7","1"
"2020073083","","0","VA","910123TL","2018","7","2"
"2020042113","","0","PA","XT27787","2020","3","2"
"2020048049","","0","MO","42A054","2017","6","2"
"2020026400","","0","FL","8289CX","2021","7","1"
"2020005207","","0","PA","","","1","1"
"2020027961","","0","NE","250145","2021","7","1"
"2020068861","","0","PA","XLL4522","2020","3","1"
"2020093178","","0","ID","7719TK","2021","7","1"
"2021000395","","0","MN","8131STU","2019","7","1"
"2020022648","","0","PA","PT696D5","2020","7","1"
"2020082347","","0","IN","P498035","2099","7","1"
"2020096375","","0","PA","PT3935Z","","6","1"
"2020029203","","0","TN","U563732","2099","7","3"
"2020039596","","0","PA","PT171H1","2020","7","1"
"2020031200","","0","PA","XGB6550","2023","6","2"
"2020091530","","0","MD","247761X","2022","6","1"
"2020068873","","0","PA","PTO0584X","2099","6","2"
"2020101486","","0","PA","XFM0383","2020","3","2"
"2020097959","","0","ZZ","","","7","2"
"2020104114","","0","IL","55804ST","2021","7","1"
"2020072448","","0","VA","777056TL","2020","7","1"
"2020072448","","0","PA","","2020","8","2"
"2020104937","","0","","N/A","","8","1"
"2020110089","","0","PA","XDF7436","2021","6","1"
"2020029885","","0","PA","PT968G6","2020","7","2"
"2020100615","","0","PA","PT550J8","2021","7","3"
"2020100615","","0","OH","","2021","7","4"
"2020100615","","0","MN","9204STV","2020","7","5"
"2020045144","","0","OK","5944GA","2020","7","1"
"2020104865","","0","ME","22TRL1955G","2020","6","1"
"2020110199","","0","IA","FB4132","2021","7","1"
"2020026520","","0","VA","U72337","2018","3","2"
"2020102252","","0","PA","XHV7135","2021","7","2"
"2020046123","","0","FL","GCK867","2021","3","1"
"2020102633","","0","PA","XHJ6183","2024","3","1"
"2020044235","","0","IN","P953107","2020","7","1"
"2020079701","","0","PA","XLE0538","2021","3","2"
"2020105520","","0","MI","","2021","7","1"
"2020074890","","0","ME","2464981","2020","6","1"
"2020074890","","0","PA","PT827G9","2020","6","2"
"2020066700","","0","","","","9","2"
"2020096629","","0","PA","XMB7722","2021","3","1"
